gruppe,product_id,admin_url,title,vendor,sku
safety,15397218320769,https://admin.shopify.com/store/au3j0y-hq/products/15397218320769,"Silikon Baby-Lätzchen 5er-Set · BPA-frei, Spülmaschinenfest",LuxeStyle,BABY-BIB-001
safety,15397247484289,https://admin.shopify.com/store/au3j0y-hq/products/15397247484289,Sternenhimmel Projektor · Baby Nachtlicht mit Musik,LuxeStyle,PROJ-PANDA-001
safety,15411026067841,https://admin.shopify.com/store/au3j0y-hq/products/15411026067841,Wasserdichte Handytasche · Strand & Schwimmen,LuxeStyle,
safety,15411028558209,https://admin.shopify.com/store/au3j0y-hq/products/15411028558209,Aufblasbare Pool-Liege · Lounge XL,LuxeStyle,
safety,15411033145729,https://admin.shopify.com/store/au3j0y-hq/products/15411033145729,Aufblasbarer Schwimmring XL · Pool-Float,LuxeStyle,
safety,15411033178497,https://admin.shopify.com/store/au3j0y-hq/products/15411033178497,Strandball-Set · Aufblasbar Wasserspass,LuxeStyle,
safety,15411036356993,https://admin.shopify.com/store/au3j0y-hq/products/15411036356993,Schwimmbrille Anti-Fog · UV-Schutz,LuxeStyle,
safety,15411202064769,https://admin.shopify.com/store/au3j0y-hq/products/15411202064769,Schwimmender Pool-Trinkhalter 6er-Set,LuxeStyle,
safety,15411202130305,https://admin.shopify.com/store/au3j0y-hq/products/15411202130305,Aufblasbare Pool-Insel XL für 4 Personen,LuxeStyle,
safety,15411202326913,https://admin.shopify.com/store/au3j0y-hq/products/15411202326913,Schwimmender Pool-Basketball-Korb,LuxeStyle,
safety,15411202392449,https://admin.shopify.com/store/au3j0y-hq/products/15411202392449,Floating Cooler XL Schwimmende Kühlbox,LuxeStyle,
safety,15411203408257,https://admin.shopify.com/store/au3j0y-hq/products/15411203408257,Lern-Tablet Kinder ab 3 Jahren,LuxeStyle,
safety,15422941299073,https://admin.shopify.com/store/au3j0y-hq/products/15422941299073,Baby-Jersey-Body – Selbst gestalten,LuxeStyle,7558517_22151
dublette,15427243180417,https://admin.shopify.com/store/au3j0y-hq/products/15427243180417,Sticker «Snake»,LuxeStyle,9000001_10163
dublette,15427243835777,https://admin.shopify.com/store/au3j0y-hq/products/15427243835777,Sticker «Snake»,LuxeStyle,9000001_10163
dublette,15427280404865,https://admin.shopify.com/store/au3j0y-hq/products/15427280404865,T-Shirt «Fondue»,LuxeStyle,9000001_4011
dublette,15427280437633,https://admin.shopify.com/store/au3j0y-hq/products/15427280437633,Tasse «Fondue»,LuxeStyle,9000001_1320
dublette,15427280896385,https://admin.shopify.com/store/au3j0y-hq/products/15427280896385,Tasse «Hoi»,LuxeStyle,9000001_1320
dublette,15427280929153,https://admin.shopify.com/store/au3j0y-hq/products/15427280929153,T-Shirt «Hoi»,LuxeStyle,9000001_4011
dublette,15427280961921,https://admin.shopify.com/store/au3j0y-hq/products/15427280961921,T-Shirt «Matterhorn»,LuxeStyle,9000001_4011
dublette,15427280994689,https://admin.shopify.com/store/au3j0y-hq/products/15427280994689,Tasse «Matterhorn»,LuxeStyle,9000001_1320
