69686276129153	12510575	2026-06-14	luxestyle-brand-60s_5ffb16fc-749d-40e7-ad6f-3229dd2bdc34.mp4
69686283731329	2626734	2026-06-14	reel-flame-9x16-meta.mp4
69686283764097	9985147	2026-06-14	reel-brise-9x16-meta.mp4
69686283796865	4119593	2026-06-14	reel-onyx-9x16-meta.mp4
69686288875905	1873484	2026-06-14	veo-mountaintee.mp4
69686288908673	445895	2026-06-14	veo-sunsethoodie.mp4
69686288941441	526257	2026-06-14	veo-quotemug.mp4
69686288974209	538660	2026-06-14	veo-cattote.mp4
69686289006977	2332683	2026-06-14	veo-skulltee.mp4
69686507241857	7133735	2026-06-14	bern-voiceover-20260614.mp4
69687567221121	6798184	2026-06-15	sommer-promo.mp4
69711702524289	6039173	2026-06-17	luxe-main-showcase.mp4
69711703474561	9968581	2026-06-17	luxe-showcase-fast.mp4
69711724478849	10774312	2026-06-17	luxe-hero-ad.mp4
69711749841281	10637045	2026-06-17	luxe-hero-ad_77da583c-a775-453b-bb2a-0982a405a901.mp4
69711839265153	10667819	2026-06-17	luxe-hero-ad_6e7c5b78-2dad-414c-8db3-fbb44b55ebec.mp4
69712123134337	6414884	2026-06-17	luxe-jewelry-cinematic.mp4
69712198336897	7144494	2026-06-17	luxe-ultimate-ad.mp4
69712236118401	9283173	2026-06-17	luxe-fashion-motion.mp4
69712247095681	13974521	2026-06-17	luxe-flagship-film.mp4
69714357485953	5923440	2026-06-18	luxe-luma-20260618-0710.mp4
69867084775809	2745082	2026-07-05	winner-set18k-ig.mp4
69867085726081	2402211	2026-07-05	winner-herzmuschel-ig.mp4
69867087495553	2783751	2026-07-05	winner-geburtsstein-ig.mp4
69867088445825	2321090	2026-07-05	winner-onyx-ig.mp4
69867089461633	2083162	2026-07-05	winner-eternita-ig.mp4
69867090248065	2501995	2026-07-05	winner-amore-ig.mp4
69877778579841	2125109	2026-07-06	auto-20260706-1647.mp4
69878756835713	15623014	2026-07-06	showcase-45s-20260706.mp4
70304061849985	2368934	2026-07-28	reel_15449433375105.mp4
70388795769217	15797216	2026-08-03	v2_kinder.mp4
