id,scheduled_date,type,media_url,platforms,status,posted_at,post_url
story-fashion-de-vid,2026-06-08,video,https://abannews.com/reels/werbung-luxestyle-de.mp4,,posted,2026-06-08T22:55:41.877Z,18097338050519023
story-print-de-vid,2026-06-08,video,https://abannews.com/reels/werbung-selbst-gestalten-de.mp4,,posted,2026-06-08T23:00:33.506Z,17911411116222519
story-brise-img,2026-06-08,image,https://abannews.com/social/static/brise-portrait.jpg,,posted,2026-06-08T23:04:02.822Z,17919015018381245
story-daisy-img,2026-06-08,image,https://abannews.com/social/static/daisy-portrait.jpg,,posted,2026-06-09T16:21:03.533Z,1702863260720877
story-sirene-img,2026-06-09,image,https://abannews.com/social/static/sirene-portrait.jpg,,posted,2026-06-09T18:35:07.828Z,18108476644937470
story-fleurette-img,2026-06-09,image,https://abannews.com/social/static/fleurette-portrait.jpg,,posted,2026-06-09T23:55:46.257Z,18106585483770747
story-lumea-img,2026-06-09,image,https://abannews.com/social/static/lumea-portrait.jpg,,posted,2026-06-10T17:50:15.526Z,18075674906657419
story-cateye-img,2026-06-10,image,https://abannews.com/social/static/cateye-portrait.jpg,,posted,2026-06-10T19:57:24.730Z,17997900740778638
story-dosnu-img,2026-06-10,image,https://abannews.com/social/static/dosnu-portrait.jpg,,posted,2026-06-10T22:30:31.699Z,17970599928079633
story-savanna-img,2026-06-10,image,https://abannews.com/social/static/savanna-portrait.jpg,,ready,,
